Time resolution is 1 ps
Time	 a  b   s | sum carry
3500000	 1010  1111  0 | 1001 1
3510000	 1010  1111  1 | 1011 0
3520000	 1011  0000  0 | 1011 0
3530000	 1011  0000  1 | 1011 1
3540000	 1011  0001  0 | 1100 0
3550000	 1011  0001  1 | 1010 1
3560000	 1011  0010  0 | 1101 0
3570000	 1011  0010  1 | 1001 1
3580000	 1011  0011  0 | 1110 0
3590000	 1011  0011  1 | 1000 1
3600000	 1011  0100  0 | 1111 0
3610000	 1011  0100  1 | 0111 1
3620000	 1011  0101  0 | 0000 1
3630000	 1011  0101  1 | 0110 1
3640000	 1011  0110  0 | 0001 1
3650000	 1011  0110  1 | 0101 1
3660000	 1011  0111  0 | 0010 1
3670000	 1011  0111  1 | 0100 1
3680000	 1011  1000  0 | 0011 1
3690000	 1011  1000  1 | 0011 1
3700000	 1011  1001  0 | 0100 1
3710000	 1011  1001  1 | 0010 1
3720000	 1011  1010  0 | 0101 1
3730000	 1011  1010  1 | 0001 1
3740000	 1011  1011  0 | 0110 1
3750000	 1011  1011  1 | 0000 1
3760000	 1011  1100  0 | 0111 1
3770000	 1011  1100  1 | 1111 0
3780000	 1011  1101  0 | 1000 1
3790000	 1011  1101  1 | 1110 0
3800000	 1011  1110  0 | 1001 1
3810000	 1011  1110  1 | 1101 0
3820000	 1011  1111  0 | 1010 1
3830000	 1011  1111  1 | 1100 0
3840000	 1100  0000  0 | 1100 0
3850000	 1100  0000  1 | 1100 1
3860000	 1100  0001  0 | 1101 0
3870000	 1100  0001  1 | 1011 1
3880000	 1100  0010  0 | 1110 0
3890000	 1100  0010  1 | 1010 1
3900000	 1100  0011  0 | 1111 0
3910000	 1100  0011  1 | 1001 1
3920000	 1100  0100  0 | 0000 1
3930000	 1100  0100  1 | 1000 1
3940000	 1100  0101  0 | 0001 1
3950000	 1100  0101  1 | 0111 1
3960000	 1100  0110  0 | 0010 1
3970000	 1100  0110  1 | 0110 1
3980000	 1100  0111  0 | 0011 1
3990000	 1100  0111  1 | 0101 1
4000000	 1100  1000  0 | 0100 1
4010000	 1100  1000  1 | 0100 1
4020000	 1100  1001  0 | 0101 1
4030000	 1100  1001  1 | 0011 1
4040000	 1100  1010  0 | 0110 1
4050000	 1100  1010  1 | 0010 1
4060000	 1100  1011  0 | 0111 1
4070000	 1100  1011  1 | 0001 1
4080000	 1100  1100  0 | 1000 1
4090000	 1100  1100  1 | 0000 1
4100000	 1100  1101  0 | 1001 1
4110000	 1100  1101  1 | 1111 0
4120000	 1100  1110  0 | 1010 1
4130000	 1100  1110  1 | 1110 0
4140000	 1100  1111  0 | 1011 1
4150000	 1100  1111  1 | 1101 0
4160000	 1101  0000  0 | 1101 0
4170000	 1101  0000  1 | 1101 1
4180000	 1101  0001  0 | 1110 0
4190000	 1101  0001  1 | 1100 1
4200000	 1101  0010  0 | 1111 0
4210000	 1101  0010  1 | 1011 1
4220000	 1101  0011  0 | 0000 1
4230000	 1101  0011  1 | 1010 1
4240000	 1101  0100  0 | 0001 1
4250000	 1101  0100  1 | 1001 1
4260000	 1101  0101  0 | 0010 1
4270000	 1101  0101  1 | 1000 1
4280000	 1101  0110  0 | 0011 1
4290000	 1101  0110  1 | 0111 1
4300000	 1101  0111  0 | 0100 1
4310000	 1101  0111  1 | 0110 1
4320000	 1101  1000  0 | 0101 1
4330000	 1101  1000  1 | 0101 1
4340000	 1101  1001  0 | 0110 1
